貨品分類,中文貨名,英文貨名,國家,數量,數量單位,重量,重量單位,價值
3032300007,冷凍吳郭魚," Tilapias, frozen",巴林,0,-   ,8000,KGM ,411
3032300007,冷凍吳郭魚," Tilapias, frozen",日本,0,-   ,10800,KGM ,696
3032300007,冷凍吳郭魚," Tilapias, frozen",加拿大,0,-   ,108631,KGM ,7365
3032300007,冷凍吳郭魚," Tilapias, frozen",沙烏地阿拉伯,0,-   ,503000,KGM ,24919
3032300007,冷凍吳郭魚," Tilapias, frozen",其他大洋洲國家,0,-   ,11695,KGM ,729
3032300007,冷凍吳郭魚," Tilapias, frozen",阿拉伯聯合大公國,0,-   ,29000,KGM ,1274
3032300007,冷凍吳郭魚," Tilapias, frozen",科威特,0,-   ,121536,KGM ,6128
3032300007,冷凍吳郭魚," Tilapias, frozen",美國,0,-   ,749982,KGM ,46022
3032300007,冷凍吳郭魚," Tilapias, frozen",香港,0,-   ,72,KGM ,2
3032300007,冷凍吳郭魚," Tilapias, frozen",澳大利亞,0,-   ,69570,KGM ,4786
3032300007,冷凍吳郭魚," Tilapias, frozen",關島,0,-   ,8618,KGM ,458
12019000104,黑豆，不論是否破碎," Black soybeans, whether or not broken",加拿大,0,-   ,0,TNE ,43
12019000104,黑豆，不論是否破碎," Black soybeans, whether or not broken",美國,0,-   ,0,TNE ,9
12019000104,黑豆，不論是否破碎," Black soybeans, whether or not broken",菲律賓,0,-   ,0,TNE ,6
52114200005,牛仔布, Denim,中國大陸,11398,MTK ,1991,KGM ,902
52114200005,牛仔布, Denim,日本,14364,MTK ,3898,KGM ,1596
52114200005,牛仔布, Denim,印尼,21998,MTK ,3869,KGM ,1543
52114200005,牛仔布, Denim,印度,7212,MTK ,2185,KGM ,513
52114200005,牛仔布, Denim,柬埔寨,28081,MTK ,9915,KGM ,2469
52114200005,牛仔布, Denim,馬來西亞,8925,MTK ,3598,KGM ,575
52114200005,牛仔布, Denim,越南,139191,MTK ,53225,KGM ,12330
52114200005,牛仔布, Denim,賴索托,6894,MTK ,2771,KGM ,435
